"ingredient","merchant","location","count","effect","weight","value"
"Hackle-Lo Leaf","Mehra Drora","Gnisis, Temple","5","Restore Fatigue, Paralyze, Water Breathing, Restore Luck","0.1","30"
"Hackle-Lo Leaf","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","10","Restore Fatigue, Paralyze, Water Breathing, Restore Luck","0.1","30"
"Hackle-Lo Leaf","Tivam Sadri","Holamayan Monastery","10","Restore Fatigue, Paralyze, Water Breathing, Restore Luck","0.1","30"
"Hackle-Lo Leaf","Gils Drelas","Tel Branora, Upper Tower: Therana's Chamber","10","Restore Fatigue, Paralyze, Water Breathing, Restore Luck","0.1","30"
"Hackle-Lo Leaf","Llarara Omayn","Balmora, Temple","5","Restore Fatigue, Paralyze, Water Breathing, Restore Luck","0.1","30"
"Heather","Peragon","Moonmoth Legion Fort, Interior","5","Restore Personality, Feather, Drain Speed, Drain Personality","0.1","1"
"Heather","Ajira","Balmora, Guild of Mages","5","Restore Personality, Feather, Drain Speed, Drain Personality","0.1","1"
"Heather","Andilu Drothan","Vivec Foreign Quarter, Andilu Drothan: Alchemist","5","Restore Personality, Feather, Drain Speed, Drain Personality","0.1","1"
"Heather","Anarenen","Ald'ruhn, Guild of Mages","10","Restore Personality, Feather, Drain Speed, Drain Personality","0.1","1"
"Heather","Bildren Areleth","Tel Aruhn, Bildren Areleth: Apothecary","10","Restore Personality, Feather, Drain Speed, Drain Personality","0.1","1"
"Heather","Brarayni Sarys","Tel Aruhn, Tower Entry","10","Restore Personality, Feather, Drain Speed, Drain Personality","0.1","1"
"Heather","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","10","Restore Personality, Feather, Drain Speed, Drain Personality","0.1","1"
"Hound Meat","Ganalyn Saram","Vivec, Hlaalu Alchemist","5","Restore Fatigue, Fortify Fatigue, Reflect, Detect Enchantment","1.0","2"
"Hound Meat","Ajira","Balmora, Guild of Mages","5","Restore Fatigue, Fortify Fatigue, Reflect, Detect Enchantment","1.0","2"
"Hound Meat","Arnand Liric","Buckmoth Legion Fort, Interior","10","Restore Fatigue, Fortify Fatigue, Reflect, Detect Enchantment","1.0","2"
"Hound Meat","Ulumpha gra-Sharob","Gnisis, Fort Darius","10","Restore Fatigue, Fortify Fatigue, Reflect, Detect Enchantment","1.0","2"
"Hound Meat","Zanmulk Sammalamus","Gnisis, Temple","10","Restore Fatigue, Fortify Fatigue, Reflect, Detect Enchantment","1.0","2"
"Hound Meat","Threvul Serethi","Sadrith Mora, Thervul Serethi: Healer","10","Restore Fatigue, Fortify Fatigue, Reflect, Detect Enchantment","1.0","2"
"Hound Meat","Cienne Sintieve","Ald'ruhn, Cienne Sintieve: Alchemist","10","Restore Fatigue, Fortify Fatigue, Reflect, Detect Enchantment","1.0","2"
"Hound Meat","Tusamircil","Wolverine Hall, Mages Guild","10","Restore Fatigue, Fortify Fatigue, Reflect, Detect Enchantment","1.0","2"
"Hound Meat","Daynali Dren","Tel Mora, Lower Tower","10","Restore Fatigue, Fortify Fatigue, Reflect, Detect Enchantment","1.0","2"
"Hypha Facia","Danoso Andrano","Ald'ruhn, Temple","10","Drain Luck, Drain Agility, Drain Fatigue, Detect Enchantment","0.1","1"
"Hypha Facia","Dralval Andrano","Balmora, Temple","5","Drain Luck, Drain Agility, Drain Fatigue, Detect Enchantment","0.1","1"
"Hypha Facia","Aurane Frernis","Vivec, Foreign Quarter, Aurane Frernis: Apothecary","5","Drain Luck, Drain Agility, Drain Fatigue, Detect Enchantment","0.1","1"
"Hypha Facia","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","10","Drain Luck, Drain Agility, Drain Fatigue, Detect Enchantment","0.1","1"
"Hypha Facia","Jolda","Tel Mora, Jolda: Apothecary","5","Drain Luck, Drain Agility, Drain Fatigue, Detect Enchantment","0.1","1"
"Kagouti Hide","Guls Llervu","Ald'ruhn, Guls Llervu's House","5","Drain Fatigue, Fortify Speed, Resist Common Disease, Night Eye","1.0","2"
"Kagouti Hide","Galuro Belan","Vivec, Telvanni Apothecary","5","Drain Fatigue, Fortify Speed, Resist Common Disease, Night Eye","1.0","2"
"Kagouti Hide","Dralval Andrano","Balmora, Temple","5","Drain Fatigue, Fortify Speed, Resist Common Disease, Night Eye","1.0","2"
"Kagouti Hide","Pierlette Rostorard","Sadrith Mora, Pierlette Rostorard: Apothecary","10","Drain Fatigue, Fortify Speed, Resist Common Disease, Night Eye","1.0","2"
"Kagouti Hide","Salen Ravel","Maar Gan, Shrine","10","Drain Fatigue, Fortify Speed, Resist Common Disease, Night Eye","1.0","2"
"Kagouti Hide","Bildren Areleth","Tel Aruhn, Bildren Areleth: Apothecary","5","Drain Fatigue, Fortify Speed, Resist Common Disease, Night Eye","1.0","2"
"Kresh Fiber","Somutis Vunnis","Moonmoth Legion Fort, Interior","5","Restore Luck, Fortify Personality, Drain Magicka, Drain Speed","0.1","1"
"Kresh Fiber","Bildren Areleth","Tel Aruhn, Bildren Areleth: Apothecary","10","Restore Luck, Fortify Personality, Drain Magicka, Drain Speed","0.1","1"
"Kresh Fiber","Andil","Tel Vos, Services Tower","5","Restore Luck, Fortify Personality, Drain Magicka, Drain Speed","0.1","1"
"Kresh Fiber","Cocistian Quaspus","Buckmoth Legion Fort","10","Restore Luck, Fortify Personality, Drain Magicka, Drain Speed","0.1","1"
"Kresh Fiber","Pierlette Rostorard","Sadrith Mora, Pierlette Rostorard: Apothecary","10","Restore Luck, Fortify Personality, Drain Magicka, Drain Speed","0.1","1"
"Kresh Fiber","Llathyno Hlaalu","Balmora, Temple","5","Restore Luck, Fortify Personality, Drain Magicka, Drain Speed","0.1","1"
"Kresh Fiber","Galuro Belan","Vivec, Telvanni Apothecary","5","Restore Luck, Fortify Personality, Drain Magicka, Drain Speed","0.1","1"
"Kwama Cuttle","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","10","Resist Poison, Drain Fatigue, Water Walking, Water Breathing","0.1","2"
"Kwama Cuttle","Ajira","Balmora, Guild of Mages","5","Resist Poison, Drain Fatigue, Water Walking, Water Breathing","0.1","2"
"Kwama Cuttle","Dulian","Buckmoth Legion Fort, Interior","10","Resist Poison, Drain Fatigue, Water Walking, Water Breathing","0.1","2"
"Kwama Cuttle","Cienne Sintieve","Ald'ruhn, Cienne Sintieve: Alchemist","10","Resist Poison, Drain Fatigue, Water Walking, Water Breathing","0.1","2"
"Kwama Cuttle","Tusamircil","Wolverine Hall, Mages Guild","10","Resist Poison, Drain Fatigue, Water Walking, Water Breathing","0.1","2"
"Kwama Cuttle","Ganalyn Saram","Vivec, Hlaalu Alchemist","5","Resist Poison, Drain Fatigue, Water Walking, Water Breathing","0.1","2"
"Kwama Cuttle","Irna Maryon","Tel Aruhn, Tower Entry","5","Resist Poison, Drain Fatigue, Water Walking, Water Breathing","0.1","2"
"Kwama Cuttle","Nalcarya of White Haven","Balmora, Nalcarya of White Haven: Fine Alchemist","10","Resist Poison, Drain Fatigue, Water Walking, Water Breathing","0.1","2"
"Luminous Russula","Ernand Thierry","Caldera, Guild of Mages","5","Water Breathing, Drain Fatigue, Poison","0.2","1"
"Luminous Russula","Jolda","Tel Mora, Jolda: Apothecary","10","Water Breathing, Drain Fatigue, Poison","0.2","1"
"Luminous Russula","Peragon","Moonmoth Legion Fort, Interior","5","Water Breathing, Drain Fatigue, Poison","0.2","1"
"Luminous Russula","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","10","Water Breathing, Drain Fatigue, Poison","0.2","1"
"Marshmerrow","Chaplain Ogrul","Gnisis, Fort Darius","10","Restore Health, Detect Enchantment, Drain Willpower, Drain Fatigue","0.1","1"
"Marshmerrow","Ygfa","Pelagiad, Fort Pelagiad","5","Restore Health, Detect Enchantment, Drain Willpower, Drain Fatigue","0.1","1"
"Marshmerrow","Milar Maryon","Tel Vos, Services Tower","10","Restore Health, Detect Enchantment, Drain Willpower, Drain Fatigue","0.1","1"
"Marshmerrow","Scelian Plebo","Wolverine Hall, Imperial Shrine","10","Restore Health, Detect Enchantment, Drain Willpower, Drain Fatigue","0.1","1"
"Marshmerrow","Felara Andrethi","Tel Aruhn, Tower Living Quarters","10","Restore Health, Detect Enchantment, Drain Willpower, Drain Fatigue","0.1","1"
"Marshmerrow","J'Rasha","Vivec, Foreign Quarter, J'Rasha: Healer","5","Restore Health, Detect Enchantment, Drain Willpower, Drain Fatigue","0.1","1"
"Marshmerrow","Danoso Andrano","Ald'ruhn, Temple","10","Restore Health, Detect Enchantment, Drain Willpower, Drain Fatigue","0.1","1"
"Marshmerrow","Dralval Andrano","Balmora, Temple","5","Restore Health, Detect Enchantment, Drain Willpower, Drain Fatigue","0.1","1"
"Marshmerrow","Andil","Tel Vos, Services Tower","10","Restore Health, Detect Enchantment, Drain Willpower, Drain Fatigue","0.1","1"
"Muck","Nalcarya of White Haven","Balmora, Nalcarya of White Haven: Fine Alchemist","10","Drain Intelligence, Detect Key, Drain Personality, Cure Common Disease","0.1","1"
"Muck","Dulian","Buckmoth Legion Fort, Interior","5","Drain Intelligence, Detect Key, Drain Personality, Cure Common Disease","0.1","1"
"Muck","Tivam Sadri","Holamayan Monastery","10","Drain Intelligence, Detect Key, Drain Personality, Cure Common Disease","0.1","1"
"Muck","Andilu Drothan","Vivec Foreign Quarter, Andilu Drothan: Alchemist","5","Drain Intelligence, Detect Key, Drain Personality, Cure Common Disease","0.1","1"
"Muck","Brarayni Sarys","Tel Aruhn, Tower Entry","10","Drain Intelligence, Detect Key, Drain Personality, Cure Common Disease","0.1","1"
"Muck","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","10","Drain Intelligence, Detect Key, Drain Personality, Cure Common Disease","0.1","1"
"Muck","Llathyno Hlaalu","Balmora, Temple","5","Drain Intelligence, Detect Key, Drain Personality, Cure Common Disease","0.1","1"
"Netch Leather","Eldrilu Dalen","Vos, Vos Chapel","10","Fortify Endurance, Fortify Intelligence, Drain Personality, Cure Paralyzation","1.0","1"
"Netch Leather","Threvul Serethi","Sadrith Mora, Thervul Serethi: Healer","5","Fortify Endurance, Fortify Intelligence, Drain Personality, Cure Paralyzation","1.0","1"
"Netch Leather","Mehra Drora","Gnisis, Temple","10","Fortify Endurance, Fortify Intelligence, Drain Personality, Cure Paralyzation","1.0","1"
"Netch Leather","Telis Salvani","Balmora, Temple","5","Fortify Endurance, Fortify Intelligence, Drain Personality, Cure Paralyzation","1.0","1"
"Netch Leather","Arnand Liric","Buckmoth Legion Fort, Interior","5","Fortify Endurance, Fortify Intelligence, Drain Personality, Cure Paralyzation","1.0","1"
"Netch Leather","Aunius Autrus","Wolverine Hall, Imperial Shrine","5","Fortify Endurance, Fortify Intelligence, Drain Personality, Cure Paralyzation","1.0","1"
"Pearl","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","4","Drain Agility, Dispel, Water Breathing, Resist Common Disease","0.2","100"
"Pearl","Garas Seloth","Vivec, Telvanni Alchemist","2","Drain Agility, Dispel, Water Breathing, Resist Common Disease","0.2","100"
"Pearl","Peragon","Moonmoth Legion Fort, Interior","2","Drain Agility, Dispel, Water Breathing, Resist Common Disease","0.2","100"
"Pearl","Craetia Jullalian","Vivec Foreign Quarter, Guild of Mages","2","Drain Agility, Dispel, Water Breathing, Resist Common Disease","0.2","100"
"Pearl","Danoso Andrano","Ald'ruhn, Temple","3","Drain Agility, Dispel, Water Breathing, Resist Common Disease","0.2","100"
"Pearl","Nalcarya of White Haven","Balmora, Nalcarya of White Haven: Fine Alchemist","3","Drain Agility, Dispel, Water Breathing, Resist Common Disease","0.2","100"
"Pearl","Gils Drelas","Tel Branora, Upper Tower: Therana's Chamber","3","Drain Agility, Dispel, Water Breathing, Resist Common Disease","0.2","100"
"Pearl","Jolda","Tel Mora, Jolda: Apothecary","2","Drain Agility, Dispel, Water Breathing, Resist Common Disease","0.2","100"
"Racer Plumes","Garas Seloth","Vivec, Telvanni Alchemist","5","Drain Willpower, Levitate","0.1","20"
"Racer Plumes","Cienne Sintieve","Ald'ruhn, Cienne Sintieve: Alchemist","5","Drain Willpower, Levitate","0.1","20"
"Racer Plumes","Craetia Jullalian","Vivec Foreign Quarter, Guild of Mages","5","Drain Willpower, Levitate","0.1","20"
"Racer Plumes","Daynali Dren","Tel Mora, Lower Tower","10","Drain Willpower, Levitate","0.1","20"
"Racer Plumes","Brarayni Sarys","Tel Aruhn, Tower Entry","10","Drain Willpower, Levitate","0.1","20"
"Racer Plumes","Nalcarya of White Haven","Balmora, Nalcarya of White Haven: Fine Alchemist","10","Drain Willpower, Levitate","0.1","20"
"Racer Plumes","Tusamircil","Wolverine Hall, Mages Guild","10","Drain Willpower, Levitate","0.1","20"
"Rat Meat","Felara Andrethi","Tel Aruhn, Tower Living Quarters","10","Drain Magicka, Paralyze, Cure Poison, Resist Poison","1.0","1"
"Rat Meat","Chaplain Ogrul","Gnisis, Fort Darius","10","Drain Magicka, Paralyze, Cure Poison, Resist Poison","1.0","1"
"Rat Meat","Milar Maryon","Tel Vos, Services Tower","10","Drain Magicka, Paralyze, Cure Poison, Resist Poison","1.0","1"
"Rat Meat","Cocistian Quaspus","Buckmoth Legion Fort","10","Drain Magicka, Paralyze, Cure Poison, Resist Poison","1.0","1"
"Rat Meat","Folvys Andalor","Ald'ruhn Temple","10","Drain Magicka, Paralyze, Cure Poison, Resist Poison","1.0","1"
"Rat Meat","Zanmulk Sammalamus","Gnisis, Temple","10","Drain Magicka, Paralyze, Cure Poison, Resist Poison","1.0","1"
"Rat Meat","Scelian Plebo","Wolverine Hall, Imperial Shrine","10","Drain Magicka, Paralyze, Cure Poison, Resist Poison","1.0","1"
"Rat Meat","Telis Salvani","Balmora, Temple","5","Drain Magicka, Paralyze, Cure Poison, Resist Poison","1.0","1"
"Rat Meat","Vaval Selas","Vivec, St. Olms Temple","5","Drain Magicka, Paralyze, Cure Poison, Resist Poison","1.0","1"
"Red Lichen","Irna Maryon","Tel Aruhn, Tower Entry","3","Drain Speed, Light, Cure Common Disease, Drain Magicka","0.1","25"
"Red Lichen","Pierlette Rostorard","Sadrith Mora, Pierlette Rostorard: Apothecary","5","Drain Speed, Light, Cure Common Disease, Drain Magicka","0.1","25"
"Red Lichen","Lloros Sarano","Ald'ruhn, Temple","5","Drain Speed, Light, Cure Common Disease, Drain Magicka","0.1","25"
"Red Lichen","Aurane Frernis","Vivec, Foreign Quarter, Aurane Frernis: Apothecary","5","Drain Speed, Light, Cure Common Disease, Drain Magicka","0.1","25"
"Red Lichen","Dralval Andrano","Balmora, Temple","5","Drain Speed, Light, Cure Common Disease, Drain Magicka","0.1","25"
"Resin","Dulian","Buckmoth Legion Fort, Interior","5","Restore Health, Restore Speed, Burden, Resist Common Disease","0.1","10"
"Resin","Pierlette Rostorard","Sadrith Mora, Pierlette Rostorard: Apothecary","10","Restore Health, Restore Speed, Burden, Resist Common Disease","0.1","10"
"Resin","Aurane Frernis","Vivec, Foreign Quarter, Aurane Frernis: Apothecary","5","Restore Health, Restore Speed, Burden, Resist Common Disease","0.1","10"
"Resin","Guls Llervu","Ald'ruhn, Guls Llervu's House","5","Restore Health, Restore Speed, Burden, Resist Common Disease","0.1","10"
"Resin","Jolda","Tel Mora, Jolda: Apothecary","10","Restore Health, Restore Speed, Burden, Resist Common Disease","0.1","10"
"Resin","Llathyno Hlaalu","Balmora, Temple","5","Restore Health, Restore Speed, Burden, Resist Common Disease","0.1","10"
"Resin","Bildren Areleth","Tel Aruhn, Bildren Areleth: Apothecary","5","Restore Health, Restore Speed, Burden, Resist Common Disease","0.1","10"
"Roobrush","Somutis Vunnis","Moonmoth Legion Fort, Interior","5","Drain Willpower, Fortify Agility, Drain Health, Cure Poison","0.1","1"
"Roobrush","Relms Gilvilo","Vivec, Redoran Temple Shrine","5","Drain Willpower, Fortify Agility, Drain Health, Cure Poison","0.1","1"
"Roobrush","Irna Maryon","Tel Aruhn, Tower Entry","5","Drain Willpower, Fortify Agility, Drain Health, Cure Poison","0.1","1"
"Roobrush","Danoso Andrano","Ald'ruhn, Temple","10","Drain Willpower, Fortify Agility, Drain Health, Cure Poison","0.1","1"
"Roobrush","Pierlette Rostorard","Sadrith Mora, Pierlette Rostorard: Apothecary","5","Drain Willpower, Fortify Agility, Drain Health, Cure Poison","0.1","1"
"Ruby","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","4","Drain Health, Feather, Restore Intelligence, Drain Agility","0.2","200"
"Ruby","Gils Drelas","Tel Branora, Upper Tower: Therana's Chamber","3","Drain Health, Feather, Restore Intelligence, Drain Agility","0.2","200"
"Ruby","Daynali Dren","Tel Mora, Lower Tower","4","Drain Health, Feather, Restore Intelligence, Drain Agility","0.2","200"
"Ruby","Craetia Jullalian","Vivec Foreign Quarter, Guild of Mages","2","Drain Health, Feather, Restore Intelligence, Drain Agility","0.2","200"
"Ruby","Nalcarya of White Haven","Balmora, Nalcarya of White Haven: Fine Alchemist","3","Drain Health, Feather, Restore Intelligence, Drain Agility","0.2","200"
"Saltrice","Sedris Omalen","Maar Gan, Outpost","10","Restore Fatigue, Fortify Magicka, Drain Strength, Restore Health","0.1","1"
"Saltrice","J'Rasha","Vivec, Foreign Quarter, J'Rasha: Healer","5","Restore Fatigue, Fortify Magicka, Drain Strength, Restore Health","0.1","1"
"Saltrice","Guls Llervu","Ald'ruhn, Guls Llervu's House","5","Restore Fatigue, Fortify Magicka, Drain Strength, Restore Health","0.1","1"
"Saltrice","Vaval Selas","Vivec, St. Olms Temple","5","Restore Fatigue, Fortify Magicka, Drain Strength, Restore Health","0.1","1"
"Saltrice","Chaplain Ogrul","Gnisis, Fort Darius","10","Restore Fatigue, Fortify Magicka, Drain Strength, Restore Health","0.1","1"
"Saltrice","Tivam Sadri","Holamayan Monastery","10","Restore Fatigue, Fortify Magicka, Drain Strength, Restore Health","0.1","1"
"Saltrice","Scelian Plebo","Wolverine Hall, Imperial Shrine","10","Restore Fatigue, Fortify Magicka, Drain Strength, Restore Health","0.1","1"
"Saltrice","Felara Andrethi","Tel Aruhn, Tower Living Quarters","10","Restore Fatigue, Fortify Magicka, Drain Strength, Restore Health","0.1","1"
"Saltrice","Eldrilu Dalen","Vos, Vos Chapel","10","Restore Fatigue, Fortify Magicka, Drain Strength, Restore Health","0.1","1"
"Saltrice","Llarara Omayn","Balmora, Temple","5","Restore Fatigue, Fortify Magicka, Drain Strength, Restore Health","0.1","1"
"Scales","Ganalyn Saram","Vivec, Hlaalu Alchemist","5","Drain Personality, Water Walking, Restore Endurance, Swift Swim","0.2","2"
"Scales","Ajira","Balmora, Guild of Mages","5","Drain Personality, Water Walking, Restore Endurance, Swift Swim","0.2","2"
"Scales","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","10","Drain Personality, Water Walking, Restore Endurance, Swift Swim","0.2","2"
"Scales","Nalcarya of White Haven","Balmora, Nalcarya of White Haven: Fine Alchemist","10","Drain Personality, Water Walking, Restore Endurance, Swift Swim","0.2","2"
"Scales","Daynali Dren","Tel Mora, Lower Tower","10","Drain Personality, Water Walking, Restore Endurance, Swift Swim","0.2","2"
"Scales","Gils Drelas","Tel Branora, Upper Tower: Therana's Chamber","10","Drain Personality, Water Walking, Restore Endurance, Swift Swim","0.2","2"
"Scamp Skin","Folvys Andalor","Ald'ruhn Temple","10","Drain Magicka, Cure Paralyzation, Restore Personality, Restore Strength","0.1","10"
"Scamp Skin","Felara Andrethi","Tel Aruhn, Tower Living Quarters","5","Drain Magicka, Cure Paralyzation, Restore Personality, Restore Strength","0.1","10"
"Scamp Skin","Aunius Autrus","Wolverine Hall, Imperial Shrine","5","Drain Magicka, Cure Paralyzation, Restore Personality, Restore Strength","0.1","10"
"Scamp Skin","Arnand Liric","Buckmoth Legion Fort, Interior","5","Drain Magicka, Cure Paralyzation, Restore Personality, Restore Strength","0.1","10"
"Scamp Skin","J'Rasha","Vivec, Foreign Quarter, J'Rasha: Healer","3","Drain Magicka, Cure Paralyzation, Restore Personality, Restore Strength","0.1","10"
"Scathecraw","Pierlette Rostorard","Sadrith Mora, Pierlette Rostorard: Apothecary","10","Drain Strength, Cure Poison, Drain Health, Restore Willpower","0.1","2"
"Scathecraw","Irna Maryon","Tel Aruhn, Tower Entry","10","Drain Strength, Cure Poison, Drain Health, Restore Willpower","0.1","2"
"Scathecraw","Galuro Belan","Vivec, Telvanni Apothecary","5","Drain Strength, Cure Poison, Drain Health, Restore Willpower","0.1","2"
"Scathecraw","Cocistian Quaspus","Buckmoth Legion Fort","10","Drain Strength, Cure Poison, Drain Health, Restore Willpower","0.1","2"
"Scathecraw","Guls Llervu","Ald'ruhn, Guls Llervu's House","5","Drain Strength, Cure Poison, Drain Health, Restore Willpower","0.1","2"
"Scathecraw","Andil","Tel Vos, Services Tower","10","Drain Strength, Cure Poison, Drain Health, Restore Willpower","0.1","2"
"Scathecraw","Dralval Andrano","Balmora, Temple","5","Drain Strength, Cure Poison, Drain Health, Restore Willpower","0.1","2"
"Scrap Metal","Cienne Sintieve","Ald'ruhn, Cienne Sintieve: Alchemist","5","Drain Health, Lightning Shield, Resist Shock, Restore Intelligence","10.0","20"
"Scrap Metal","Gils Drelas","Tel Branora, Upper Tower: Therana's Chamber","5","Drain Health, Lightning Shield, Resist Shock, Restore Intelligence","10.0","20"
"Scrap Metal","Daynali Dren","Tel Mora, Lower Tower","5","Drain Health, Lightning Shield, Resist Shock, Restore Intelligence","10.0","20"
"Scrap Metal","Nalcarya of White Haven","Balmora, Nalcarya of White Haven: Fine Alchemist","10","Drain Health, Lightning Shield, Resist Shock, Restore Intelligence","10.0","20"
"Scrap Metal","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","5","Drain Health, Lightning Shield, Resist Shock, Restore Intelligence","10.0","20"
"Scrap Metal","Andilu Drothan","Vivec Foreign Quarter, Andilu Drothan: Alchemist","4","Drain Health, Lightning Shield, Resist Shock, Restore Intelligence","10.0","20"
"Scrib Jelly","Arnand Liric","Buckmoth Legion Fort, Interior","10","Fortify Willpower, Cure Poison, Cure Blight Disease, Restore Willpower","0.1","10"
"Scrib Jelly","Folvys Andalor","Ald'ruhn Temple","10","Fortify Willpower, Cure Poison, Cure Blight Disease, Restore Willpower","0.1","10"
"Scrib Jelly","Eldrilu Dalen","Vos, Vos Chapel","5","Fortify Willpower, Cure Poison, Cure Blight Disease, Restore Willpower","0.1","10"
"Scrib Jelly","Threvul Serethi","Sadrith Mora, Thervul Serethi: Healer","5","Fortify Willpower, Cure Poison, Cure Blight Disease, Restore Willpower","0.1","10"
"Scrib Jelly","Vaval Selas","Vivec, St. Olms Temple","5","Fortify Willpower, Cure Poison, Cure Blight Disease, Restore Willpower","0.1","10"
"Scrib Jelly","Llathyno Hlaalu","Balmora, Temple","5","Fortify Willpower, Cure Poison, Cure Blight Disease, Restore Willpower","0.1","10"
"Scrib Jerky","Llarara Omayn","Balmora, Temple","5","Restore Fatigue, Fortify Fatigue, Burden, Swift Swim","0.2","5"
"Scrib Jerky","Eldrilu Dalen","Vos, Vos Chapel","5","Restore Fatigue, Fortify Fatigue, Burden, Swift Swim","0.2","5"
"Scrib Jerky","Aunius Autrus","Wolverine Hall, Imperial Shrine","10","Restore Fatigue, Fortify Fatigue, Burden, Swift Swim","0.2","5"
"Scrib Jerky","Dulian","Buckmoth Legion Fort, Interior","10","Restore Fatigue, Fortify Fatigue, Burden, Swift Swim","0.2","5"
"Scrib Jerky","Arrille","Seyda Neen, Arrille's Tradehouse","5","Restore Fatigue, Fortify Fatigue, Burden, Swift Swim","0.2","5"
"Scrib Jerky","Tivam Sadri","Holamayan Monastery","10","Restore Fatigue, Fortify Fatigue, Burden, Swift Swim","0.2","5"
"Scrib Jerky","Galsa Andrano","Mournhold Temple: Infirmary","5","Restore Fatigue, Fortify Fatigue, Burden, Swift Swim","0.2","5"
"Scrib Jerky","Folvys Andalor","Ald'ruhn Temple","10","Restore Fatigue, Fortify Fatigue, Burden, Swift Swim","0.2","5"
"Scuttle","Llathyno Hlaalu","Balmora, Temple","5","Restore Fatigue, Fortify Fatigue, Feather, Telekinesis","0.1","10"
"Scuttle","J'Rasha","Vivec, Foreign Quarter, J'Rasha: Healer","5","Restore Fatigue, Fortify Fatigue, Feather, Telekinesis","0.1","10"
"Scuttle","Folvys Andalor","Ald'ruhn Temple","10","Restore Fatigue, Fortify Fatigue, Feather, Telekinesis","0.1","10"
"Scuttle","Threvul Serethi","Sadrith Mora, Thervul Serethi: Healer","5","Restore Fatigue, Fortify Fatigue, Feather, Telekinesis","0.1","10"
"Scuttle","Guls Llervu","Ald'ruhn, Guls Llervu's House","5","Restore Fatigue, Fortify Fatigue, Feather, Telekinesis","0.1","10"
"Scuttle","Felara Andrethi","Tel Aruhn, Tower Living Quarters","5","Restore Fatigue, Fortify Fatigue, Feather, Telekinesis","0.1","10"
"Shalk Resin","Lloros Sarano","Ald'ruhn, Temple","5","Drain Fatigue, Fortify Health, Drain Personality, Fortify Speed","0.1","50"
"Shalk Resin","Salen Ravel","Maar Gan, Shrine","5","Drain Fatigue, Fortify Health, Drain Personality, Fortify Speed","0.1","50"
"Shalk Resin","Arrille","Seyda Neen, Arrille's Tradehouse","5","Drain Fatigue, Fortify Health, Drain Personality, Fortify Speed","0.1","50"
"Shalk Resin","Llarara Omayn","Balmora, Temple","5","Drain Fatigue, Fortify Health, Drain Personality, Fortify Speed","0.1","50"
"Shalk Resin","Aurane Frernis","Vivec, Foreign Quarter, Aurane Frernis: Apothecary","5","Drain Fatigue, Fortify Health, Drain Personality, Fortify Speed","0.1","50"
"Shalk Resin","Pierlette Rostorard","Sadrith Mora, Pierlette Rostorard: Apothecary","5","Drain Fatigue, Fortify Health, Drain Personality, Fortify Speed","0.1","50"
"Shalk Resin","Andil","Tel Vos, Services Tower","5","Drain Fatigue, Fortify Health, Drain Personality, Fortify Speed","0.1","50"
"Sload Soap","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","10","Drain Personality, Fortify Agility, Fire Shield, Restore Agility","0.1","50"
"Sload Soap","Andilu Drothan","Vivec Foreign Quarter, Andilu Drothan: Alchemist","5","Drain Personality, Fortify Agility, Fire Shield, Restore Agility","0.1","50"
"Sload Soap","Peragon","Moonmoth Legion Fort, Interior","5","Drain Personality, Fortify Agility, Fire Shield, Restore Agility","0.1","50"
"Sload Soap","Nalcarya of White Haven","Balmora, Nalcarya of White Haven: Fine Alchemist","10","Drain Personality, Fortify Agility, Fire Shield, Restore Agility","0.1","50"
"Sload Soap","Brarayni Sarys","Tel Aruhn, Tower Entry","5","Drain Personality, Fortify Agility, Fire Shield, Restore Agility","0.1","50"
"Small Kwama Egg","Ajira","Balmora, Guild of Mages","5","Restore Fatigue","0.5","1"
"Small Kwama Egg","Zanmulk Sammalamus","Gnisis, Temple","10","Restore Fatigue","0.5","1"
"Small Kwama Egg","Cienne Sintieve","Ald'ruhn, Cienne Sintieve: Alchemist","10","Restore Fatigue","0.5","1"
"Small Kwama Egg","J'Rasha","Vivec, Foreign Quarter, J'Rasha: Healer","5","Restore Fatigue","0.5","1"
"Small Kwama Egg","Ulumpha gra-Sharob","Gnisis, Fort Darius","10","Restore Fatigue","0.5","1"
"Small Kwama Egg","Threvul Serethi","Sadrith Mora, Thervul Serethi: Healer","10","Restore Fatigue","0.5","1"
"Small Kwama Egg","Vaval Selas","Vivec, St. Olms Temple","5","Restore Fatigue","0.5","1"
"Small Kwama Egg","Felara Andrethi","Tel Aruhn, Tower Living Quarters","10","Restore Fatigue","0.5","1"
"Small Kwama Egg","Tusamircil","Wolverine Hall, Mages Guild","10","Restore Fatigue","0.5","1"
"Spore Pod","Peragon","Moonmoth Legion Fort, Interior","5","Drain Strength, Drain Fatigue, Detect Key, Paralyze","0.1","1"
